GEO_ID,tot_hh,hh_white,hh_afram,hh_amerind,hh_asian,hh_nathawaii,hh_mixed,hh_latino,hh_whitenolatino
06037101110,1494,1105,0,0,92,0,209,401,951
06037101122,1372,1064,10,0,136,0,105,89,1045
06037101220,1357,785,8,25,187,0,204,497,589
06037101221,1450,1089,68,0,39,0,66,329,983
06037101222,935,820,17,0,35,17,18,246,620
06037101300,1420,1232,0,0,60,0,78,148,1166
06037101400,1304,1013,8,0,93,0,160,199,930
06037102103,669,560,8,0,51,0,50,52,531
06037102104,1310,1112,24,0,92,0,74,190,979
06037102105,554,262,0,7,31,0,147,299,166
06037102107,1204,925,43,0,121,0,68,214,793
06037103101,915,702,9,0,82,0,47,212,612
06037103102,1651,1288,0,0,145,0,78,311,1154
06037103201,1530,1361,0,0,41,5,101,362,1122
06037103202,660,523,0,0,23,0,0,78,447
06037103300,1203,968,0,23,99,0,91,180,875
06037103401,988,736,0,4,218,0,16,108,680
06037103402,1372,1026,80,0,75,0,15,290,912
06037104103,866,340,166,29,67,0,157,553,69
06037104105,1526,643,115,11,101,0,165,1214,89
06037104108,1288,630,121,0,40,0,111,1048,79
06037104124,1281,708,151,31,83,0,187,631,409
06037104201,916,354,157,28,4,0,70,718,18
06037104203,1125,539,112,18,11,0,178,968,22
06037104204,731,374,59,14,42,0,130,555,58
06037104310,942,347,16,0,0,0,139,881,33
06037104321,924,338,58,0,9,0,281,838,0
06037104322,473,216,14,0,0,0,65,418,14
06037104401,617,304,26,2,5,6,46,554,32
06037104403,578,251,0,0,40,0,73,524,14
06037104404,745,333,0,6,18,0,102,714,13
06037104500,626,311,0,7,0,0,102,593,20
06037104610,680,287,0,4,0,0,84,674,6
06037104620,702,268,14,6,0,0,178,685,17
06037104701,871,428,18,0,0,7,76,852,0
06037104703,573,298,53,6,0,0,79,434,101
06037104704,1209,505,182,0,68,0,185,789,133
06037104821,716,352,13,4,9,0,121,661,22
06037104822,645,271,6,12,56,0,128,581,8
06037104823,697,211,0,12,122,0,178,543,32
06037104824,535,209,0,52,0,0,127,457,26
06037106010,902,589,15,12,57,0,101,554,250
06037106020,1295,842,3,12,42,0,113,909,271
06037106111,1396,790,82,0,129,0,204,675,501
06037106112,1384,781,31,36,114,0,114,924,303
06037106113,992,554,46,6,76,0,175,663,200
06037106114,1672,919,27,4,201,0,147,1263,181
06037106403,853,514,9,12,15,27,73,685,117
06037106405,1179,567,94,0,72,0,172,878,135
06037106406,1806,1061,10,31,110,0,269,1106,571
06037106407,831,490,87,5,41,0,61,591,109
06037106408,990,529,30,0,50,8,146,820,84
06037106510,1625,893,69,8,358,0,99,808,375
06037106520,1422,935,63,14,35,0,99,1181,132
06037106603,1184,703,32,0,260,0,165,296,582
06037106604,1240,627,67,52,48,0,150,1014,111
06037106641,742,585,16,0,110,0,31,12,578
06037106642,1152,947,25,12,73,0,45,172,851
06037106643,1368,970,52,25,231,0,4,84,921
06037106645,1259,1060,0,28,127,0,17,235,880
06037106646,951,589,42,0,203,20,33,187,492
06037106648,1085,600,13,0,0,0,186,1012,60
06037106649,638,260,25,9,103,0,99,422,70
06037107010,742,332,4,6,25,0,117,658,47
06037107020,1169,608,28,33,45,13,232,971,84
06037108101,765,484,7,15,186,0,34,163,390
06037108102,1141,587,52,0,417,0,52,78,575
06037108103,981,648,14,0,221,0,69,84,627
06037108104,559,415,6,0,114,0,10,24,415
06037108202,3002,1223,361,0,1260,0,83,424,962
06037108203,1148,476,197,0,443,0,11,78,445
06037108204,650,345,33,0,261,0,11,15,330
06037109100,808,540,16,0,103,0,35,356,333
06037109200,1013,406,59,0,321,0,51,289,336
06037109300,927,573,15,0,150,0,71,380,351
06037109400,1126,443,0,25,24,26,83,838,230
06037109500,1011,480,0,39,48,0,80,932,31
06037109601,1348,694,18,12,135,0,104,777,380
06037109603,1274,455,46,10,179,0,45,785,264
06037109604,885,404,33,16,127,1,53,605,158
06037109700,1376,791,45,10,164,0,219,486,593
06037109800,1457,747,12,0,256,0,199,686,503
06037111100,949,481,43,15,192,0,76,343,345
06037111201,1036,652,9,4,168,0,88,375,489
06037111202,1879,989,26,13,403,0,289,595,798
06037111204,1831,1056,77,33,436,0,151,232,991
06037111205,1294,652,8,0,390,0,81,301,530
06037111206,1425,915,38,0,248,0,156,195,815
06037111302,1756,985,84,0,334,0,153,432,877
06037111303,1441,985,19,0,241,0,123,280,898
06037111304,1332,361,185,0,282,0,251,433,349
06037111401,679,423,0,0,109,0,65,295,275
06037111402,2166,1337,0,0,465,0,33,768,900
06037113101,1152,837,25,0,152,0,63,214,708
06037113102,954,744,6,0,140,0,59,143,626
06037113211,1607,1107,107,9,245,0,58,156,1032
06037113212,945,492,56,33,147,0,62,270,456
06037113213,1712,931,84,5,246,0,143,519,784
06037113231,833,565,26,0,106,0,104,69,551
06037113232,1500,1115,65,0,209,0,27,311,895
06037113234,1599,693,85,28,256,0,125,711,554
06037113235,646,487,38,0,16,0,69,71,481
06037113237,1595,794,223,0,325,0,139,365,731
06037113238,1451,803,72,11,345,0,67,597,383
06037113239,896,334,252,0,115,0,0,252,277
06037113301,1525,1012,35,12,292,0,86,249,937
06037113303,1284,892,21,10,186,0,31,278,777
06037113322,1530,1001,172,0,166,0,92,276,884
06037113323,1506,599,96,0,217,0,135,693,471
06037113324,989,537,136,0,161,0,19,428,264
06037113423,878,372,21,4,186,0,14,368,310
06037113424,1017,407,38,0,131,0,127,436,353
06037113425,1373,464,184,0,77,0,103,728,314
06037113426,737,314,0,0,118,11,66,324,266
06037113427,957,430,129,0,158,0,52,313,334
06037113428,1083,567,74,0,209,0,80,361,424
06037115101,1844,1212,20,22,206,0,222,294,1167
06037115103,5,0,0,0,0,0,0,5,0
06037115104,2026,905,346,25,398,10,124,447,752
06037115202,2005,804,125,4,318,34,138,804,620
06037115203,1069,623,29,31,115,0,81,381,513
06037115204,1604,844,321,0,191,0,110,282,775
06037115301,1635,911,47,0,436,0,29,281,808
06037115302,1083,278,39,21,160,0,99,731,165
06037115401,1926,917,137,0,314,0,10,736,729
06037115403,1022,235,79,0,140,0,137,616,154
06037115404,800,322,49,0,155,0,82,308,235
06037117101,1453,569,134,0,380,0,108,625,306
06037117102,815,474,21,0,94,0,66,460,229
06037117201,1190,423,32,10,198,0,106,697,190
06037117202,929,505,44,2,165,0,137,291,376
06037117301,1092,618,29,0,207,0,85,315,531
06037117302,1557,943,142,0,307,0,85,299,816
06037117303,1180,553,35,0,137,0,106,546,431
06037117404,1375,645,80,27,175,0,136,553,552
06037117405,861,203,37,0,22,0,131,743,49
06037117407,1007,215,14,11,27,0,70,951,15
06037117408,716,194,13,5,72,0,36,550,76
06037117510,1033,281,37,18,74,0,178,776,146
06037117520,1077,209,90,16,102,0,54,807,75
06037117530,1699,469,22,7,306,0,137,1153,188
06037119001,1012,456,0,9,216,6,119,678,106
06037119003,860,486,30,18,66,0,151,717,46
06037119004,759,390,0,0,157,0,92,516,77
06037119201,849,402,5,32,57,0,133,652,117
06037119202,1133,516,0,11,100,0,41,905,94
06037119310,1243,270,109,22,264,0,85,660,214
06037119320,1270,139,74,0,182,0,136,928,76
06037119340,1029,144,47,0,29,0,55,959,0
06037119341,857,212,21,24,176,5,44,549,101
06037119342,782,175,11,21,89,0,65,558,95
06037119400,1147,570,75,0,94,0,65,842,136
06037119700,1301,673,0,0,324,0,70,527,414
06037119801,618,287,0,0,92,0,76,373,153
06037119802,810,279,0,6,164,36,127,555,71
06037119900,1260,356,0,27,265,0,97,792,156
06037120010,761,150,31,0,109,0,34,533,88
06037120020,1256,200,138,0,180,0,26,885,47
06037120030,702,194,18,0,16,0,4,578,86
06037120103,847,184,26,12,32,0,18,767,34
06037120104,794,168,101,0,130,0,67,418,113
06037120105,851,202,41,4,136,0,87,563,101
06037120106,1318,91,41,0,134,0,196,1108,27
06037120107,1116,240,43,7,72,0,85,907,103
06037120108,1399,431,16,31,164,0,124,956,255
06037120300,1424,521,20,0,419,0,41,599,389
06037120400,2099,713,134,0,381,0,212,1081,467
06037121010,1258,671,12,22,137,0,107,606,503
06037121020,1055,591,56,10,69,0,155,578,331
06037121101,949,480,31,0,110,0,175,564,235
06037121102,755,561,33,0,19,0,51,271,422
06037121210,781,306,4,11,99,11,136,529,87
06037121221,517,251,29,0,57,0,92,306,119
06037121222,1233,616,57,3,45,0,173,931,178
06037121600,837,513,4,13,215,0,22,157,453
06037121801,1118,462,43,22,48,0,142,702,268
06037121802,708,338,56,12,43,0,120,373,213
06037121900,1009,448,0,0,35,0,260,797,177
06037122000,1576,1047,34,0,152,0,154,569,797
06037122120,1185,509,40,25,46,0,221,833,245
06037122121,771,368,42,0,21,0,151,545,129
06037122122,638,255,19,10,15,0,126,563,41
06037122200,860,514,6,0,26,0,125,588,235
06037122410,1172,489,60,36,51,0,168,828,178
06037122420,1340,550,19,0,97,0,167,1030,168
06037123010,1005,494,52,2,11,0,195,798,156
06037123020,753,424,16,0,13,0,135,603,127
06037123103,1619,961,179,45,81,0,52,694,619
06037123104,1581,1105,103,0,33,0,161,739,643
06037123203,981,515,69,12,8,0,55,661,243
06037123204,1016,483,51,4,33,0,55,682,243
06037123205,764,462,20,12,23,0,70,529,192
06037123206,792,416,7,5,22,0,133,619,126
06037123301,1625,891,169,9,290,0,109,511,632
06037123303,893,470,55,3,57,14,62,458,287
06037123304,1749,1265,45,33,82,0,128,595,976
06037123410,1212,802,15,0,93,0,60,520,584
06037123420,1623,1103,81,10,40,0,86,756,734
06037123510,1621,923,64,0,176,0,61,801,549
06037123520,761,525,5,14,47,0,30,377,332
06037123601,1897,1385,153,0,69,0,131,449,1161
06037123602,1235,854,139,0,38,0,75,275,721
06037123700,1672,1069,332,0,7,0,145,367,939
06037123800,2237,1660,41,0,139,0,204,500,1477
06037123901,1402,744,72,4,112,17,92,549,641
06037123902,1084,680,104,23,112,0,93,246,602
06037124000,2113,1690,87,0,232,0,61,141,1595
06037124102,1360,818,126,0,168,0,122,421,598
06037124103,570,341,5,0,28,0,64,319,210
06037124104,1015,520,68,0,28,0,207,492,316
06037124105,848,555,75,0,52,0,38,343,371
06037124201,1069,581,0,0,164,0,158,553,352
06037124203,793,495,28,3,73,0,55,344,301
06037124204,873,504,18,7,52,0,150,436,298
06037124300,1210,730,67,0,53,0,136,600,443
06037124400,1643,1363,43,0,20,0,116,342,1207
06037124500,1218,816,58,0,71,0,185,151,763
06037124600,1252,1034,35,0,60,0,123,112,997
06037124700,2427,1892,263,25,135,0,69,243,1760
06037124902,1556,1001,95,0,199,0,172,248,895
06037124903,1567,964,228,0,120,0,219,297,801
06037125101,2032,1302,292,8,204,0,80,333,1140
06037125102,834,644,96,0,69,0,25,86,558
06037125200,1774,1347,70,0,45,11,110,440,1109
06037125310,1959,1419,289,0,93,0,66,598,973
06037125321,1382,915,119,0,207,0,69,455,618
06037125322,1359,847,94,0,88,0,238,506,689
06037125402,2037,1463,94,5,100,49,149,390,1326
06037125403,1248,756,144,17,133,0,106,301,709
06037125404,1553,804,448,0,64,0,162,156,750
06037125501,1609,1128,221,0,86,0,104,211,1061
06037125502,1974,1407,68,0,115,0,73,463,1262
06037125600,1243,804,169,0,143,0,99,286,636
06037127102,1515,588,142,0,119,0,126,845,389
06037127103,1215,618,86,0,51,0,135,516,486
06037127104,1404,753,14,0,84,0,248,775,511
06037127210,1879,639,309,9,240,0,154,815,467
06037127220,1681,732,96,18,180,0,114,923,436
06037127300,1337,562,68,3,132,15,244,643,412
