OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
22,1,22,104124,1041.24,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,KAGEL / LOPEZ CANYONS,UNINCORPORATED AREA,3,San Fernando Valley Planning Area,6579433.18,14622.37595
1102,1,1102,300100,3001,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,1,West San Gabriel Valley Planning Area,6762583.121,11523.54253
1103,1,1103,300200,3002,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,3,West San Gabriel Valley Planning Area,2865626.273,8208.996045
1106,1,1106,300501,3005.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,3,West San Gabriel Valley Planning Area,1847789.078,7553.876038
1107,1,1107,300503,3005.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,LA CRESCENTA - MONTROSE,UNINCORPORATED AREA,3,West San Gabriel Valley Planning Area,1588110.23,6713.196575
1267,2,1267,403801,4038.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,CHARTER OAK,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,2752860.281,7988.379651
1268,2,1268,403802,4038.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,CHARTER OAK,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1906540.258,5960.990718
1406,2,1406,431200,4312,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SOUTH MONROVIA ISLANDS,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,2176540.793,7587.556455
1407,1,1407,431300,4313,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SOUTH MONROVIA ISLANDS,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,1194762.637,5290.775866
1408,2,1408,431400,4314,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SOUTH MONROVIA ISLANDS,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,2629954.082,7879.4373
1410,2,1410,431502,4315.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,SOUTH MONROVIA ISLANDS,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,2957376.996,8320.677906
1454,1,1454,460001,4600.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,KINNELOA MESA,UNINCORPORATED AREA,1,West San Gabriel Valley Planning Area,7614903.973,18644.86579
1456,1,1456,460101,4601.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,1,West San Gabriel Valley Planning Area,8349591.207,16592.46733
1457,1,1457,460200,4602,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,4672770.914,10033.81525
1458,1,1458,460301,4603.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,1,West San Gabriel Valley Planning Area,7210115.965,14995.87152
1459,1,1459,460302,4603.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,1923671.281,6496.207497
1467,1,1467,461000,4610,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,2592717.555,8014.096372
1468,1,1468,461100,4611,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,2869514.031,7252.636377
1469,1,1469,461200,4612,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,3597321.992,10286.06347
1470,1,1470,461300,4613,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,ALTADENA,UNINCORPORATED AREA,7,West San Gabriel Valley Planning Area,2855493.398,10766.50584
