GEO_ID,NAME,Gross Rent
06037101110,"Census Tract 1011.10, Los Angeles County, California",1689
06037101122,"Census Tract 1011.22, Los Angeles County, California",2529
06037101220,"Census Tract 1012.20, Los Angeles County, California",1324
06037101221,"Census Tract 1012.21, Los Angeles County, California",1484
06037101222,"Census Tract 1012.22, Los Angeles County, California",1525
06037101300,"Census Tract 1013, Los Angeles County, California",2393
06037101400,"Census Tract 1014, Los Angeles County, California",1380
06037102103,"Census Tract 1021.03, Los Angeles County, California",2125
06037102104,"Census Tract 1021.04, Los Angeles County, California",2986
06037102105,"Census Tract 1021.05, Los Angeles County, California",1897
06037102107,"Census Tract 1021.07, Los Angeles County, California",1605
06037103101,"Census Tract 1031.01, Los Angeles County, California",2453
06037103102,"Census Tract 1031.02, Los Angeles County, California",1654
06037103201,"Census Tract 1032.01, Los Angeles County, California",1588
06037103202,"Census Tract 1032.02, Los Angeles County, California",-
06037103300,"Census Tract 1033, Los Angeles County, California",3145
06037103401,"Census Tract 1034.01, Los Angeles County, California",1813
06037103402,"Census Tract 1034.02, Los Angeles County, California",1578
06037104103,"Census Tract 1041.03, Los Angeles County, California",2208
06037104105,"Census Tract 1041.05, Los Angeles County, California",1147
06037104108,"Census Tract 1041.08, Los Angeles County, California",1574
06037104124,"Census Tract 1041.24, Los Angeles County, California",1552
06037104201,"Census Tract 1042.01, Los Angeles County, California",1838
06037104203,"Census Tract 1042.03, Los Angeles County, California",1321
06037104204,"Census Tract 1042.04, Los Angeles County, California",1010
06037104310,"Census Tract 1043.10, Los Angeles County, California",2410
06037104321,"Census Tract 1043.21, Los Angeles County, California",1093
06037104322,"Census Tract 1043.22, Los Angeles County, California",1160
06037104401,"Census Tract 1044.01, Los Angeles County, California",1431
06037104403,"Census Tract 1044.03, Los Angeles County, California",1782
06037104404,"Census Tract 1044.04, Los Angeles County, California",1477
06037104500,"Census Tract 1045, Los Angeles County, California",1816
06037104610,"Census Tract 1046.10, Los Angeles County, California",1765
06037104620,"Census Tract 1046.20, Los Angeles County, California",1615
06037104701,"Census Tract 1047.01, Los Angeles County, California",1306
06037104703,"Census Tract 1047.03, Los Angeles County, California",1298
06037104704,"Census Tract 1047.04, Los Angeles County, California",1758
06037104821,"Census Tract 1048.21, Los Angeles County, California",1607
06037104822,"Census Tract 1048.22, Los Angeles County, California",1750
06037104823,"Census Tract 1048.23, Los Angeles County, California",2272
06037104824,"Census Tract 1048.24, Los Angeles County, California",1024
06037106010,"Census Tract 1060.10, Los Angeles County, California",2331
06037106020,"Census Tract 1060.20, Los Angeles County, California",2664
