TractNum,Location,Total Unsheltered,Total Sheltered,Total Population
101110,Sunland-Tujunga NC,12.614,0,12.614
101122,Sunland-Tujunga NC,1,0,1
101210,Sunland-Tujunga NC,14.517,0,14.517
101220,Sunland-Tujunga NC,24.058,0,24.058
101300,Sunland-Tujunga NC,9.278,0,9.278
101400,Sunland-Tujunga NC,17.615,0,17.615
102103,Sun Valley Area NC,0,0,0
102104,Sun Valley Area NC,1.425,0,1.425
102105,Sun Valley Area NC,23.717,0,23.717
102107,Foothill Trails District NC,6.508,0,6.508
103101,Sunland-Tujunga NC,26.872,0,26.872
103102,Sunland-Tujunga NC,26.368,0,26.368
103200,Foothill Trails District NC,32.609,0,32.609
103300,Foothill Trails District NC,5.413,0,5.413
103400,Sunland-Tujunga NC,26.382,0,26.382
104103,Foothill Trails District NC,8.202,0,8.202
104105,Pacoima NC,4.847,0,4.847
104108,Pacoima NC,1.425,0,1.425
104124,Kagel Canyon,11.813,6,17.813
104201,Pacoima NC,6.082,0,6.082
104203,Pacoima NC,15.034,0,15.034
104204,Foothill Trails District NC,26.17,0,26.17
104310,Pacoima NC,78.159,0,78.159
104320,Pacoima NC,3.388,123,126.39
104401,Pacoima NC,18.56,0,18.56
104403,Pacoima NC,14.474,0,14.474
104404,Pacoima NC,6.976,0,6.976
104500,Pacoima NC,12.882,0,12.882
104610,Pacoima NC,10.462,57,67.462
104620,Pacoima NC,6.891,0,6.891
104701,Pacoima NC,16.778,0,16.778
104703,Pacoima NC,91.676,0,91.676
104704,Pacoima NC,6.776,16,22.776
104810,Pacoima NC,17.693,0,17.693
104821,Pacoima NC,9.731,0,9.731
104822,Pacoima NC,19.058,0,19.058
106010,Sylmar NC,12.248,0,12.248
106020,Sylmar NC,40.104,0,40.104
106111,Sylmar NC,21.628,0,21.628
106112,Sylmar NC,15.98,0,15.98
106113,Sylmar NC,4.576,0,4.576
106114,Sylmar NC,12.519,0,12.519
106403,Sylmar NC,13.823,0,13.823
106405,Sylmar NC,2,0,2
106406,Sylmar NC,15.546,0,15.546
106407,Sylmar NC,5.047,0,5.047
106408,Sylmar NC,16.617,0,16.617
106510,Sylmar NC,50.326,0,50.326
106520,Sylmar NC,35.458,0,35.458
106603,Granada Hills North NC,0,0,0
106604,Sylmar NC,23.519,0,23.519
106641,Granada Hills North NC,0,0,0
106642,Granada Hills North NC,0,0,0
106643,Granada Hills North NC,0,0,0
106645,Granada Hills North NC,3.949,0,3.949
